Las Vegas Challenge
John Willis II: 21
Casey White: 17
Jason Hebenheimer: 15
Richard Wysocki: 14
Emerson Keith: 14
Justin Freeman: 14
Tommy Koons: 14
Nate Perkins: 14
Joel Freeman: 13
Terry Rothlisberger: 12
James Conrad: 11
Brodie Smith: 10
Jeremy Koling: 10
Alden Harris: 9
Alex Russell: 9
Isaiah Morava: 7

Best of 'Music City Open'
Jake Monn: 27
Evan Scott: 20
Isaac Marrs: 20
Calvin Pettigrew: 18
Jon Lynn: 18
Alden Harris: 17
Sam Lee: 16
Kevin Rarick: 16
Clay Edwards: 15
Taylor Woodward: 13
Justin Rosak: 11
Garrett Gurthie: 10
Hunter Bennett: 10
Adam Hammes: 10
Nikko Locastro: 9
Trevon Crowe: 9
Chris Dickerson: 9
Colby Childress: 8
Terry Rothlisberger: 8
Lance Brown: 8

Best of 'Blue Ridge Championship'
Event Not Played

Best of 'Champions Cup'
Event Not Played

Best of 'Jonesboro Open'
Jason Hebenheimer: 29
AJ Carey: 21
Casey White: 19
Kevin Jones: 17
Benjamin Callaway: 17
Brodie Smith: 14
Thomas Gilbert: 13
Ezra Aderhold: 11
Luke Samson: 11
Gannon Buhr: 11
Calvin Heimburg: 9
Zach Melton: 8
Levi Hancock: 8
Noah Fiveash: 7
Bartosz Kowalewski: 7
Ezra Robinson: 7
Aaron Gossage: 6
Alden Harris: 6
Colten Montgomery: 5
Trevon Crowe: 4

Best of 'OTB Open'
Aaron Gossage: 29
Jacob Courtis: 25
Anthony Barela: 21
Chandler Fry: 15
Michael Arauza: 13
Austin Hannum: 13
Connor O'Reilly: 13
James Conrad: 12
Joel Freeman: 12
Simon Lizotte: 11
Ezra Aderhold: 10
Jeffrey McCormick: 10
Brodie Smith: 7
Nathan Sexton: 7
AJ Carey: 7
Mike Sale: 6
Thomas Tomaselli: 6
Calvin Heimburg: 5
Nikko Locastro: 5
Cody Kirkland: 4

Best of 'Beaver State Fling'
Event Not Played

Best of 'Cascade Challenge'
Event Not Played

Best of 'Zoo Town Open'
Event Not Played

Best of 'Dynamic Discs Open'
Jason Hebenheimer: 24
Nolan Ramser: 23
Ty Love: 16
Mark Chapalonis: 16
Kyle Divelbiss: 15
Brodie Smith: 14
Matthew Wolf: 11
AJ Carey: 11
G.T. Hancock: 9
Jake Lauber: 9
Logan Harpool: 7
Justin Rosak: 5
Noah Fiveash: 5
Billy Engel: 4
Jeffrey Bryk: 4
Sean Swihart: 3
Zackeriath Johnson: 3
Levi Hancock: 2
Alan Wagner: 2
Ryan Orton: 2

Best of 'Des Moines Challenge'
Jake Lauber: 23
Emerson Keith: 17
Logan Harpool: 17
Austin Hannum: 15
Alan Wagner: 14
AJ Carey: 12
Silas Schultz: 12
Raven Newsom: 11
Gavin Babcock: 11
Paul Ulibarri: 10
Kevin Jones: 9
John Willis II: 9
Chris Clemons: 9
Josiah O'Polka: 8
Silver Lätt: 8
Ezra Aderhold: 7
Gannon Buhr: 7
Gavin Rathbun: 6
Nate Perkins: 6
Albert Tamm: 6

Best of 'Kansas City Wide Open'
Slim Belcher: 38
David Allen: 26
Jeffrey Gunter: 22
Drew Cantrell: 17
Peter Bures: 13
Daniel Thayer: 13
A.J. Cruz: 11
Derrick Holt: 11
Zach Moses: 8
Jason Hebenheimer: 7
Kevin Free: 7
Michael Babbitt: 6
Trevor Hastert: 5
Jake Lazzo: 4
James Loveall: 4
A.J. Kroenlein: 4
Matthew Perry: 4
Alex Mieir: 3
John Jones: 2
Tyler Grosinsky: 1

Best of 'PCS Open'
Olav André Brekke: 31
Markus Fjørtoft: 31
Tom Erik Kristiansen: 30
Henrik Roppen: 26
Espen Zachariassen: 25
Marius Blindheim: 25
Sondre Pettersen: 18
Benjamin Tur Eliassen: 17
Thomas Smedstun: 16
Morten Mikkelhaug: 15
Trond Volle Knutsen: 14
Morten Brenna: 14
Oddbjørn Molvik: 14
Jonar Fonn Aluwini: 12
Roar Henden: 11
Vebjørn Greger Løvmon: 11
Stanislaus Amann: 10
Blær Örn Ásgeirsson: 9
Arnar Prøis: 9
Simen Krogh: 9

Best of 'European Open'
Joona Heinänen: 20
Kristian Spliid: 16
