32	126.00	Lydia Lyons	58968	909	+7	67	951	67	951	74	897	208	
32	126.00	Stephanie Vincent	29947	931	+7	64	974	70	928	74	897	208	
35	108.00	Stacie Rawnsley	122208	943	+8	68	944	72	913	69	936	209	
35	108.00	Stacie Hass	124963	932	+8	66	959	73	905	70	928	209	
35	108.00	Raven Klein	138272	921	+8	71	921	67	951	71	921	209	
35	108.00	Vanessa Van Dyken	62325	946	+8	68	944	70	928	71	921	209	
39	84.00	Leah Tsinajinnie	139109	904	+9	69	936	65	967	76	882	210	
40	78.00	Eveliina Salonen	64927	970	+11	70	928	72	913	70	928	212	
40	78.00	Keiti Tätte	94085	937	+11	64	974	78	867	70	928	212	
42	66.00	Jill Norwick	142944	912	+14	75	890	72	913	68	944	215	
42	66.00	Emily Beach	61144	948	+14	72	913	73	905	70	928	215	
44	54.00	Shiru Liu	158461	898	+18	73	905	79	859	67	951	219	
45	48.00	Dani Kleidon	146137	911	+19	70	928	75	890	75	890	220	
46	42.00	Kelley Foster	152191	874	+26	78	867	75	890	74	897	227	
46	42.00	Krissie Fountain	73693	897	+26	80	851	72	913	75	890	227	
48	30.00	Alexis Kerman	142354	871	+31	70	928	84	820	78	867	232	
49	24.00	Ratana Meekham	101949	886	+32	81	844	77	874	75	890	233	
50	18.00	Melody Castruita	50171	884	+34	81	844	74	897	80	851	235	
51	12.00	Madison Tomaino	60798	916	+35	81	844	78	867	77	874	236	
52	6.00	Nathalie Ortiz	133701	857	+40	78	867	81	844	82	836	241

The Open at Austin
3
1	318.00	Paige Pierce	29190	971	-5	61	1011	58	1002	62	969	181	$4,000
2	312.00	Catrina Allen	44184	971	-3	69	953	56	1018	58	1002	183	$2,650
3	306.00	Jessica Weese	50656	949	-2	65	982	62	969	57	1010	184	$1,850
3	306.00	Missy Gannon	85942	971	-2	64	989	60	986	60	986	184	$1,850
5	294.00	Holyn Handley	133547	964	+1	65	982	59	994	63	961	187	$1,300
5	294.00	Kristin Tattar	73986	987	+1	61	1011	59	994	67	928	187	$1,300
7	282.00	Eveliina Salonen	64927	960	+2	69	953	61	977	58	1002	188	$1,050
